number,vib
1015,-0.004885
1016,0.156326
1017,1.307279
1018,-0.075232
1019,0.814851
1020,-2.000977
1021,0.295066
1022,0.363459
1023,-0.978017
1024,-0.060576
1025,-0.072301
1026,0.022472
1027,0.118222
1028,-0.372252
1029,0.490474
1030,1.187103
1031,1.747924
1032,-0.017587
1033,1.434294
1034,0.460186
1035,0.923302
1036,0.975085
1037,0.690767
1038,0.880313
1039,0.784563
1040,0.173913
1041,0.636053
1042,1.155838
1043,0.274548
1044,0.314607
1045,-0.120176
1046,0.252076
1047,0.335125
1048,0.218857
1049,-0.819736
1050,-0.248168
1051,-0.55789
1052,0.216903
1053,-0.053737
1054,0.281387
1055,-0.025403
1056,-0.17489
1057,-0.062531
1058,-0.18466
1059,0.163166
1060,0.089888
1061,2
1062,0.749389
1063,0.141671
1064,1.200782
1065,0.868588
1066,0.781632
1067,1.192965
1068,0.827553
1069,1.097215
1070,0.638984
1071,0.804104
1072,0.086957
1073,0.279433
1074,0.015633
1075,0.284319
1076,0.06937
1077,-0.334148
1078,0.974108
1079,-0.119199
1080,0.259893
1081,0.495359
1082,-0.269663
1083,0.044944
1084,-0.356619
1085,0.121153
1086,0.021495
1087,0.720078
1088,0.579384
1089,0.605765
1090,-0.413288
1091,0.253053
1092,1.090376
1093,1.582804
1094,0.760137
1095,0.779678
1096,0.880313
1097,0.868588
1098,0.045921
1099,0.489497
1100,0.400586
1101,0.26087
1102,0.198339
1103,0.01661
1104,-2.000977
1105,-0.109428
1106,0.692721
1107,-0.442599
1108,-0.249145
1109,-0.222765
1110,-0.245237
1111,-0.246214
1112,-0.34978
1113,-0.080117
1114,-0.118222
1115,-0.104543
1116,0.405471
1117,2
1118,0.523693
1119,0.877382
1120,0.301905
1121,1.086468
1122,0.993649
1123,0.800195
1124,1.081583
1125,0.754275
1126,0.544211
1127,0.351734
1128,0.386908
1129,0.070347
1130,0.222765
1131,0.328285
1132,-0.648754
1133,0.461163
1134,-1.706888
1135,-0.107474
1136,0.34978
1137,-0.443576
1138,0.239375
1139,-0.028334
1140,-0.013679
1141,0.057645
1142,-0.20127
1143,0.754275
1144,0.340987
1145,2
1146,0.942843
1147,1.766488
1148,0.208109
1149,0.870542
1150,0.903762
1151,1.266243
1152,0.537372
1153,0.794333
1154,0.264778
1155,0.533464
1156,0.319492
1157,0.091842
1158,0.28041
1159,0.089888
1160,-0.297997
1161,-1.143136
1162,1.645335
1163,-0.213972
1164,0.304836
1165,-1.434294
1166,-0.272594
1167,-0.182706
1168,-0.330239
1169,-0.266732
1170,0.49829
1171,-0.235467
1172,-1.431363
1173,-1.322912
1174,0.05276
1175,1.009282
1176,-0.211041
1177,0.985833
1178,1.106009
1179,0.902785
1180,0.729849
1181,-0.224719
1182,0.490474
1183,0.389839
1184,0.050806
1185,0.127992
1186,0.309722
1187,-0.440645
1188,0.041036
1189,-1.369809
1190,0.401563
1191,0.247191
1192,0.198339
1193,-0.017587
1194,-0.406448
1195,0.10552
1196,-0.352711
1197,-0.616512
1198,-0.31363
1199,0.587201
1200,0.352711
1201,-0.002931
1202,1.009282
1203,0.660479
1204,0.922325
1205,0.909624
1206,0.928188
1207,0.52467
1208,-0.047875
1209,0.526624
1210,0.451392
1211,0.179775
1212,-0.038105
1213,0.120176
1214,0.450415
1215,0.292135
1216,-0.338056
1217,-0.522716
1218,-0.004885
1219,0.371275
1220,-0.695652
1221,-0.252076
1222,-0.383
1223,-0.509038
1224,0.004885
1225,-0.177821
1226,0.028334
1227,0.572545
1228,0.356619
1229,0.690767
1230,0.483635
1231,1.005374
1232,0.299951
1233,0.799218
1234,0.880313
1235,1.01319
1236,0.705423
1237,-0.218857
1238,0.616512
1239,0.487543
1240,0.281387
1241,0.094773
1242,-0.083048
1243,-0.116268
1244,-0.475818
1245,0.239375
1246,-0.108451
1247,-0.115291
1248,-0.718124
1249,-0.156326
1250,0.176844
1251,-0.516854
1252,0.066439
1253,-0.432829
1254,-0.744504
1255,0.363459
1256,1.992184
1257,0.566683
1258,-0.059599
1259,1.048363
1260,0.602833
1261,0.695652
1262,1.160723
1263,0.738642
1264,0.998534
1265,-0.300928
1266,0.657548
1267,0.448461
1268,0.369321
1269,-0.053737
1270,0.389839
1271,0.301905
1272,-0.750366
1273,0.075232
1274,1.557401
1275,-0.309722
1276,0.075232
1277,-1.27406
1278,0.129946
1279,0.16512
